"영화명","감독","제작사","수입사","배급사","개봉일","개봉월","국적","전국스크린수","전국관객수","장르","등급","배우1","배우2","배우3","별점","감독점수","제작사점수","수입사점수","배우1점수","배우2점수","배우3점수"
"부활","케빈레이놀즈","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2016-03-17",3,"미국",120,175146,"드라마","12세이상관람가","톰펠튼","조셉파인즈","클리프커티스",8.35,175146,762553.945321993,778770.556521739,175146,175146,175146
"나잇&데이","제임스맨골드","뉴리전시픽쳐스,리젠시엔터프라이즈,이십세기폭스필름코퍼레이션,트리라인필름,로드레벨,핑크","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2010-06-24",6,"미국",501,2282191,"액션","15세이상관람가","톰크루즈","카메론디아즈","",8.36,1809202.66666667,2282191,1276741.5375,2900749.18181818,2282191,957932.33604336
"잭리처:네버고백","에드워드즈윅","","롯데쇼핑㈜롯데엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","2016-11-30",11,"미국",667,612328,"액션","15세이상관람가","톰크루즈","코비스멀더스","",7.17,569702.5,762553.945321993,1287987.86956522,2900749.18181818,612328,957932.33604336
"잭리처","크리스토퍼맥쿼리","파라마운트픽쳐스","씨제이이앤엠(주)","씨제이이앤엠(주)","2013-01-17",1,"미국",431,784031,"액션","15세이상관람가","톰크루즈","로자먼드파이크","로버트듀발",7.17,3682181.33333333,2743330.9,1018967.20634921,2900749.18181818,1274132,784031
"락오브에이지","아담쉥크만","","워너브러더스코리아(주)","워너브러더스코리아(주)","2012-08-02",8,"미국",243,87915,"뮤지컬","15세이상관람가","톰크루즈","캐서린제타존스","알렉볼드윈",7.5,87915,762553.945321993,1399135.08641975,2900749.18181818,87915,87915
"아메리칸메이드","더그라이만","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2017-09-14",9,"미국",691,401541,"범죄","15세이상관람가","톰크루즈","사라라이트","도널글리슨",7.71,2549341.5,762553.945321993,778770.556521739,2900749.18181818,401541,401541
"오블리비언","조셉코신스키","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2013-04-11",4,"미국",634,1515356,"액션","15세이상관람가","톰크루즈","모건프리먼","올가쿠릴렌코",8.23,648501,762553.945321993,778770.556521739,2900749.18181818,943861.8,1515356
"미션임파서블:고스트프로토콜","브래드버드","파라마운트픽쳐스","씨제이이앤엠(주)","씨제이이앤엠(주)","2011-12-15",12,"미국",1038,7575899,"액션","15세이상관람가","톰크루즈","제레미레너","",8.73,3460335.66666667,2743330.9,1018967.20634921,2900749.18181818,4777236.33333333,957932.33604336
"미션임파서블:로그네이션","크리스토퍼맥쿼리","","롯데쇼핑㈜롯데엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","2015-07-30",7,"미국",1202,6126488,"액션","15세이상관람가","톰크루즈","제레미레너","레베카퍼거슨",8.75,3682181.33333333,762553.945321993,1287987.86956522,2900749.18181818,4777236.33333333,6126488
"엣지오브투모로우","더그라이만","","워너브러더스코리아(주)","워너브러더스코리아(주)","2014-06-04",6,"미국",801,4697142,"액션","12세이상관람가","톰크루즈","에밀리블런트","빌팩스톤",8.94,2549341.5,762553.945321993,1399135.08641975,2900749.18181818,1699442,4697142
"미션임파서블:폴아웃","크리스토퍼맥쿼리","파라마운트픽쳐스","롯데컬처웍스(주)롯데엔터테인먼트","롯데컬처웍스(주)롯데엔터테인먼트","2018-07-25",7,"미국",1957,4136025,"액션","15세이상관람가","톰크루즈","레베카퍼거슨","헨리카빌",9.14,3682181.33333333,2743330.9,4136025,2900749.18181818,2297723,3159126
"쏘우3D","케빈그루터트","어비거보트","코리아스토리","㈜케이디미디어","2010-11-18",11,"미국",159,115878,"공포(호러)","청소년관람불가","토빈벨","코스타스맨다이어","벳시러셀",6.98,67997,115878,69449.5,82276,67997,115878
"쏘우-여섯번의기회","케빈그루터트","(주)빅버젯","","(주)빅버젯","2010-01-07",1,"미국",52,20116,"공포(호러)","청소년관람불가","토빈벨","코스타스맨다이어","쇼니스미스",7.46,67997,20116,1677501.34942085,82276,67997,20116
"허리케인하이스트","롭코헨","","(주)우성엔터테인먼트","(주)넥스트엔터테인먼트월드(NEW)","2018-03-14",3,"미국",544,214949,"액션","15세이상관람가","토비켑벨","매기그레이스","라이언콴튼",7.42,118860,762553.945321993,194186.8,214949,1211663.75,261083
"극장판소드아트온라인-오디널스케일-","이토토모히코","","(주)애니플러스","(주)박수엔터테인먼트","2017-02-23",2,"3국",124,117401,"애니메이션","12세이상관람가","토마츠하루카","이토카나에","마츠오카요시츠구",8.95,117401,762553.945321993,45651.7,117401,117401,117401
"배틀쉽","피터버그","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2012-04-11",4,"미국",736,2241687,"SF","12세이상관람가","테일러키취","리암니슨","리아나",7.45,645365,762553.945321993,778770.556521739,1539556.5,1214563.6,1301121.5
"존카터:바숨전쟁의서막","앤드류스탠튼","","한국소니픽쳐스릴리징브에나비스타영화㈜","한국소니픽쳐스릴리징브에나비스타영화㈜","2012-03-08",3,"미국",508,837426,"SF","12세이상관람가","테일러키취","린콜린스","윌렘대포",7.51,1719580,762553.945321993,1153290.7804878,1539556.5,837426,837426
"어브덕션","존싱글톤","","(주)누리픽쳐스","필라멘트픽쳐스","2011-09-29",9,"미국",285,156744,"액션","15세이상관람가","테일러로트너","릴리콜린스","시고니위버",6.4,156744,762553.945321993,290979.484848485,91503,366447,217212
"트레이서","다니엘벤마요","","(주)드림웨스트픽쳐스","(주)영화사오원,(주)브리즈픽처스","2015-03-19",3,"미국",249,26262,"액션","15세이상관람가","테일러로트너","마리아브게로폴로스","애덤레이너",6.7,26262,762553.945321993,82066.6666666667,91503,26262,26262
"라이트아웃","데이비드F.샌드버그","","워너브러더스코리아(주)","워너브러더스코리아(주)","2016-08-24",8,"미국",659,1111158,"공포(호러)","15세이상관람가","테레사팔머","앨리시아벨라베일리","가브리엘베이트먼",7.38,1522675,762553.945321993,1399135.08641975,1140498.5,1111158,1111158
"웜바디스","조나단레빈","","데이지엔터테인먼트","씨제이이앤엠(주)","2013-03-14",3,"미국",477,1169839,"멜로/로맨스","15세이상관람가","테레사팔머","니콜라스홀트","존말코비치",8.52,1169839,762553.945321993,457299.074074074,1140498.5,619368,1554780.33333333
"극장판썬더일레븐GOVS골판지전사W","미야오요시카즈","","씨제이이앤엠(주)","씨제이이앤엠(주)","2013-06-05",6,"3국",99,36492,"애니메이션","전체관람가","테라사키유카","시모노히로","",8.44,81370,762553.945321993,1018967.20634921,60373.5,36492,957932.33604336
"극장판썬더일레븐GO:궁극의우정그리폰","미야오요시카즈","","씨제이이앤엠(주)","에이원엔터테인먼트","2012-05-24",5,"3국",243,84255,"애니메이션","전체관람가","테라사키유카","오오하라타카시","사이가미츠키",9.03,81370,762553.945321993,1018967.20634921,60373.5,84255,84255
"코알라키드:영웅의탄생","이경호","㈜디지아트프로덕션,더애니메이션픽쳐컴퍼니","","롯데쇼핑㈜롯데엔터테인먼트","2012-01-12",1,"한국",234,205579,"애니메이션","전체관람가","태민","써니","윤다훈",8.65,205579,205579,1677501.34942085,205579,205579,205579
"킹스맨:골든서클","매튜본","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2017-09-27",9,"미국",1687,4945484,"액션","청소년관람불가","태런에저튼","줄리안무어","콜린퍼스",8.4,3439198.25,762553.945321993,1276741.5375,2579743.5,3514970.5,4945484
"독수리에디","덱스터플레처","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2016-04-07",4,"미국",528,214003,"드라마","12세이상관람가","태런에저튼","휴잭맨","크리스토퍼월켄",9.02,214003,762553.945321993,1276741.5375,2579743.5,2263937,214003
"사다코2","하나부사츠토무","","(주)도키엔터테인먼트","(주)미디어데이","2014-03-13",3,"3국",100,12696,"공포(호러)","15세이상관람가","타키모토미오리","세토코지","",5.02,67539,762553.945321993,12696,12696,67539,957932.33604336
"명탐정코난:화염의해바라기","시즈노코분","","씨제이이앤엠(주)","씨제이이앤엠(주)","2015-08-05",8,"3국",433,470990,"애니메이션","전체관람가","타카야마미나미","야마자키와카나","코야마리키야",8.45,493695.2,762553.945321993,1018967.20634921,460778.25,460655.166666667,459685.5
"명탐정코난:수평선상의음모","야마모토야스이치로","","씨제이이앤엠(주)","씨제이이앤엠(주)","2013-08-07",8,"3국",316,389253,"애니메이션","12세이상관람가","타카야마미나미","야마자키와카나","",8.7,286406.571428571,762553.945321993,1018967.20634921,460778.25,460655.166666667,957932.33604336
"명탐정코난:이차원의저격수","시즈노코분","","씨제이이앤엠(주)","씨제이이앤엠(주)","2014-08-06",8,"3국",299,397381,"애니메이션","12세이상관람가","타카야마미나미","히다카노리코","",8.73,493695.2,762553.945321993,1018967.20634921,460778.25,397381,957932.33604336
"명탐정코난:진홍의연가","시즈노코분","","씨제이이앤엠(주)","씨제이이앤엠(주)","2017-08-02",8,"3국",582,448381,"애니메이션","12세이상관람가","타카야마미나미","야마자키와카나","코야마리키야",8.81,493695.2,762553.945321993,1018967.20634921,460778.25,460655.166666667,459685.5
"명탐정코난:탐정들의진혼가","야마모토야스이치로","","씨제이이앤엠(주)","씨제이이앤엠(주)","2014-02-13",2,"3국",294,182668,"애니메이션","12세이상관람가","타카야마미나미","야마자키와카나","",8.82,286406.571428571,762553.945321993,1018967.20634921,460778.25,460655.166666667,957932.33604336
"명탐정코난:침묵의15분","시즈노코분","","","(주)미디어데이","2011-08-03",8,"3국",275,644216,"애니메이션","전체관람가","타카야마미나미","야마자키와카나","",9.07,493695.2,762553.945321993,1677501.34942085,460778.25,460655.166666667,957932.33604336
"명탐정코난:천공의난파선","야마모토야스이치로","도쿄무비신사","(주)온미디어","에이원엔터테인먼트","2010-07-21",7,"3국",234,628423,"애니메이션","전체관람가","타카야마미나미","야마자키와카나","야마구치캇페이",9.24,286406.571428571,628423,354887.5,460778.25,460655.166666667,628423
"알렉스크로스","롭코헨","","(주)인벤트스톤","(주)인벤트스톤","2013-03-14",3,"미국",162,22771,"액션","청소년관람불가","타일러페리","매튜폭스","레이첼니콜스",8.12,118860,762553.945321993,22771,22771,22771,22771
"천재강아지미스터피바디","롭민코프","","씨제이이앤엠(주)","씨제이이앤엠(주)","2014-04-24",4,"미국",533,385552,"애니메이션","전체관람가","타이버렐","맥스찰스","아리엘윈터",8.43,385552,762553.945321993,1018967.20634921,385552,385552,385552
"주온:더파이널","오치아이마사유키","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2015-10-01",10,"3국",318,60981,"공포(호러)","15세이상관람가","타이라아이리","키리야마렌","",4.19,235812.5,762553.945321993,778770.556521739,60981,60981,957932.33604336
"히든피겨스","데오도르멜피","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2017-03-23",3,"미국",448,448923,"드라마","12세이상관람가","타라지P.헨슨","옥타비아스펜서","자넬모네",9.34,448923,762553.945321993,1276741.5375,448923,448923,448923
"원피스3D:밀짚모자체이스","사토히로유키","","얼리버드","(주)미디어데이","2012-01-26",1,"3국",111,13475,"애니메이션","전체관람가","타나카마유미","나카이카즈야","오카무라아케미",7.13,13475,762553.945321993,72078.6666666667,107858.333333333,107858.333333333,107858.333333333
"원피스필름골드","미야모토히로아키","","씨제이이앤엠(주)","씨제이이앤엠(주)","2016-12-08",12,"3국",445,216861,"애니메이션","12세이상관람가","타나카마유미","나카이카즈야","오카무라아케미",8.94,216861,762553.945321993,1018967.20634921,107858.333333333,107858.333333333,107858.333333333
"원피스극장판Z","나가미네타츠야","","씨제이이앤엠(주)","씨제이이앤엠(주)","2013-03-21",3,"3국",267,93239,"애니메이션","전체관람가","타나카마유미","나카이카즈야","오카무라아케미",9.02,93239,762553.945321993,1018967.20634921,107858.333333333,107858.333333333,107858.333333333
"스푹스:MI5","바랫낼러리","","(주)영화사빅","(주)영화사빅","2016-03-17",3,"3국",341,41416,"액션","15세이상관람가","키트해링턴","제니퍼엘","피터퍼스",6.56,41416,762553.945321993,26929.3333333333,707644.5,41416,41416
"라스트나잇","마시태지딘","","데이지엔터테인먼트","(주)싸이더스","2011-04-07",4,"미국",243,119963,"멜로/로맨스","청소년관람불가","키이라나이틀리","샘워싱턴","",8.06,119963,762553.945321993,457299.074074074,131955,148782,957932.33604336
"안나카레니나","조라이트","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2013-03-21",3,"미국",248,143947,"드라마","15세이상관람가","키이라나이틀리","주드로","애런존슨",8.5,144029.75,762553.945321993,778770.556521739,131955,708270,143947
