영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국관객수,장르,등급
프로포즈 데이,아넌드 터커,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2010-04-08,미국,149,109313,멜로/로맨스,12세이상관람가
캣츠 앤 독스 2,브래드 페이튼,시디2 필름,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-09-16,미국,161,109667,가족,전체관람가
러브 앤 프렌즈,루크 그린필드,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2011-06-16,미국,207,110795,드라마,15세이상관람가
직쏘,"피터 스피어이그,마이클 스피어리그",,㈜코리아스크린,㈜코리아스크린,2017-11-02,미국,175,110834,공포(호러),청소년관람불가
셀프/리스,타셈 싱,,블루미지,(주)이수C&E,2015-09-10,미국,340,111127,SF,15세이상관람가
터키,지미 헤이워드,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2014-07-31,미국,182,113795,애니메이션,전체관람가
로맨틱 크라운,톰 행크스,,판씨네마(주),(주)싸이더스,2011-08-17,미국,239,114887,멜로/로맨스,12세이상관람가
들어는 봤니? 모건 부부,마크 로렌스,콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-01-28,미국,163,115454,코미디,15세이상관람가
쏘우 3D,케빈 그루터트,어비거보트,코리아스토리,㈜케이디미디어,2010-11-18,미국,159,115878,공포(호러),청소년관람불가
존 윅,"데이빗 레이치,채드 스타헬스키",,(유)조이앤컨텐츠그룹,(주)나이너스엔터테인먼트,2015-01-21,미국,321,116119,액션,청소년관람불가
고스트 라이더 : 복수의 화신,"마크 네빌딘,브라이언 테일러",,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2012-02-16,미국,269,117263,액션,15세이상관람가
데블,존 에릭 도들,미디어라이트캐피탈,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2010-11-04,미국,190,118286,공포(호러),15세이상관람가
라스트 나잇,마시 태지딘,,데이지엔터테인먼트,(주)싸이더스,2011-04-07,미국,243,119963,멜로/로맨스,청소년관람불가
리미트리스,닐 버거,,(주)씨티엔터테인먼트,팝엔터테인먼트,2012-07-12,미국,164,120914,미스터리,15세이상관람가
라스트 위치 헌터,브렉 에이즈너,,(유)조이앤시네마,TCO(주)더콘텐츠온,2015-12-30,미국,278,122039,액션,15세이상관람가
애프터 라이프,아그네츠카 보토위츠 보슬루,레쥬,(주)영화사아이비젼,(주)시너지하우스 (시너지),2010-09-02,미국,185,122963,드라마,15세이상관람가
러시 : 더 라이벌,론 하워드,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2013-10-09,미국,270,123582,액션,청소년관람불가
마이 리틀 자이언트,스티븐 스필버그,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-08-10,미국,128,125800,어드벤처,전체관람가
버틀러: 대통령의 집사,리 다니엘스,,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2013-11-28,미국,182,126870,드라마,15세이상관람가
파라노말 액티비티 3,"헨리 유스트,아리엘 슐만",,씨제이이앤엠(주),씨제이이앤엠(주),2011-10-20,미국,180,131437,공포(호러),12세이상관람가
리딕,데이빗 토히,,데이지엔터테인먼트,(주)영화사 빅,2013-11-28,미국,275,132059,SF,15세이상관람가
카운슬러,리들리 스콧,,이십세기폭스코리아(주),이십세기폭스코리아(주),2013-11-14,미국,293,133272,범죄,청소년관람불가
비스틀리,다니엘 반즈,,(주)누리픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2011-03-17,미국,214,134025,드라마,12세이상관람가
제 5침공,J 블레이크슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-02-25,미국,312,135874,액션,12세이상관람가
링컨,스티븐 스필버그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2013-03-14,미국,214,135900,드라마,12세이상관람가
워터 디바이너,러셀 크로우,,(주)더블앤조이픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2015-01-28,미국,326,136134,드라마,15세이상관람가
파이터,데이빗 O. 러셀,,데이지엔터테인먼트,(주)시너지하우스 (시너지),2011-03-10,미국,263,136946,드라마,15세이상관람가
더 퍼지,제임스 드모나코,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-11-06,미국,232,137126,스릴러,청소년관람불가
데이브레이커스,마이클 스피어리그,라이온스 게이트 필름즈,(주)성원아이컴,(주)성원아이컴,2010-03-18,미국,187,137955,액션,청소년관람불가
